
Fire Detected Lat=  40.90710679 , Lon= -73.11009781
SIGN Lat=  40.90705667 , Lon= -73.11011508
SIGN Lat=  40.90705667 , Lon= -73.11011508
Fire Detected Lat=  40.90705667 , Lon= -73.11011508
Sign board Lat=  40.90705667 , Lon= -73.11011508
SIGN Lat=  40.90705667 , Lon= -73.11011508
SIGN Lat=  40.90705667 , Lon= -73.11011508
SIGN Lat=  40.90705667 , Lon= -73.11011508
Fire Detected Lat=  40.90705667 , Lon= -73.11011508
Sign board Lat=  40.90705667 , Lon= -73.11011508
SIGN Lat=  40.90705667 , Lon= -73.11011508
SIGN Lat=  40.90705667 , Lon= -73.11011508
SIGN Lat=  40.90705667 , Lon= -73.11011508
Fire Detected Lat=  40.90662068 , Lon= -73.10981509
Sign board Lat=  40.90662068 , Lon= -73.10981509
SIGN Lat=  40.90662068 , Lon= -73.10981509
Fire Detected Lat=  40.90709003 , Lon= -73.11013956
Sign board Lat=  40.90709003 , Lon= -73.11013956
SIGN Lat=  40.90709003 , Lon= -73.11013956
